batch_time	read_number	channel	num_samples	read_id	sequence_length	decision
1691769837.1584349	14048	233	5019	28c1fbf4-13bf-4866-b94e-995ababdcbf9	408	unblock
1691769893.0742326	11094	57	5009	f46fe3f6-fba1-4802-8b76-23527d0a031a	372	unblock
1691769897.7632017	2439	226	5012	b12926e8-a8f7-4de4-b319-05d08dac62a7	325	unblock
1691770022.009924	13163	238	5009	08282659-43e3-49e4-8b57-578dc49d0836	411	unblock
1691770031.6789875	14823	87	5003	62183ccf-66c2-4010-86fb-8a13d6edd5e2	323	unblock
1691770089.0729525	14123	22	5002	431a73dd-c0cb-4c7d-b594-ee3ea9fbdea5	350	unblock
1691770102.6428275	17840	134	5004	4820069e-8485-4c37-b526-02a1d6fd2df9	409	no_decision
1691770103.6442945	17840	134	10012	4820069e-8485-4c37-b526-02a1d6fd2df9	818	no_decision
1691770104.74533	17840	134	15018	4820069e-8485-4c37-b526-02a1d6fd2df9	1259	no_decision
1691770105.7820413	17840	134	20019	4820069e-8485-4c37-b526-02a1d6fd2df9	1681	no_decision
1691770106.7856936	17840	134	25022	4820069e-8485-4c37-b526-02a1d6fd2df9	2085	no_decision
1691770107.83629	17840	134	30027	4820069e-8485-4c37-b526-02a1d6fd2df9	2532	no_decision
1691770133.02204	12922	119	5005	ca77f558-4713-42c0-9627-2b2a69633841	371	unblock
1691770264.0491247	14844	24	5003	871c0f4e-c3db-47ca-9c9f-5f1c3e2ed6a2	395	no_decision
1691770265.0501842	14844	24	10009	871c0f4e-c3db-47ca-9c9f-5f1c3e2ed6a2	819	no_decision
1691770266.0968244	14844	24	15013	871c0f4e-c3db-47ca-9c9f-5f1c3e2ed6a2	1241	no_decision
1691770397.7000206	15756	191	5010	16390036-129c-4cbf-9e6f-c8d5dcafd786	426	unblock
1691770484.0430927	12424	43	5006	0359dbf7-c4d6-4f69-8f52-269143b8af47	188	no_decision
1691770487.0017018	15201	243	5001	4c2af1b5-f054-4150-9f23-fc9196c9eb09	407	unblock
1691770600.0601444	16670	172	5014	e5667885-539f-49bc-a942-ff3363e8d968	450	unblock
1691770617.4852197	17033	175	5000	a5bf141f-0424-4a96-856e-304969d33e1d	357	no_decision
1691770765.3148365	16594	179	5005	4f545ecf-f338-42d6-9ae4-0d7bd33db93a	366	unblock
1691770775.6569767	13395	64	5001	1e9744a8-4b09-4323-8e03-95360ba42441	348	unblock
1691770850.1081147	6254	226	5003	5fe91ff6-5ffa-4fa1-831d-c9d098b36161	329	no_decision
1691770861.4450548	16330	119	5000	94dbdbce-3b14-4176-93b3-cf4228fa562e	375	unblock
1691770912.431086	16203	117	5015	e31352bd-fdcf-4aab-b60c-2341da7396e8	371	unblock
1691770926.233264	13957	64	5001	7ffc7691-c869-419d-8e96-0a55977d2660	319	unblock
1691771083.284417	15218	99	5006	2b753807-c1dc-46ef-b249-8433f20de551	397	unblock
1691771260.8753116	16828	212	5002	cc4a5e8f-27e8-4ae4-9962-06665537cfc9	409	unblock
1691771379.1218996	14321	217	5005	9da36feb-3742-4134-b4eb-51dcb3788892	388	no_decision
1691771380.2201612	14321	217	10010	9da36feb-3742-4134-b4eb-51dcb3788892	825	no_decision
1691771381.3691795	14321	217	15018	9da36feb-3742-4134-b4eb-51dcb3788892	1251	no_decision
1691771416.3462255	21115	84	5015	748d2527-a0e3-46a1-a5d4-0d4dc4689d9d	399	unblock
1691771511.574437	19413	238	5000	a0717053-57ea-4ebc-84fb-e3a93fb3bc1a	418	no_decision
1691771512.6587574	19413	238	10004	a0717053-57ea-4ebc-84fb-e3a93fb3bc1a	842	no_decision
1691771513.412879	19413	238	15007	a0717053-57ea-4ebc-84fb-e3a93fb3bc1a	1273	no_decision
1691771514.5736537	19413	238	20009	a0717053-57ea-4ebc-84fb-e3a93fb3bc1a	1679	no_decision
1691771515.7531102	19413	238	25012	a0717053-57ea-4ebc-84fb-e3a93fb3bc1a	2130	no_decision
1691771742.9820006	19431	18	5003	a98d45e0-b150-42db-8b96-305917e6c1c2	385	unblock
1691771843.320506	24187	136	5003	dd6beba3-db2f-4f38-9ecc-c89faa47c7e7	403	unblock
1691771858.339703	25970	208	5006	79b00b00-101b-4c8e-b908-950bee462fae	398	unblock
1691771938.1863897	26880	80	5004	46cdfeac-ac71-4f2e-a289-1f24234354ed	372	unblock
1691771951.4880965	16278	234	5001	4f67a936-4083-4e98-9f4a-c6d744da8887	401	unblock
1691772316.6703253	22664	116	5014	a931ca00-875f-4832-a0b3-3a371bbc19b8	303	no_decision
1691772341.041571	21498	12	5000	8410be1c-52dd-4cae-9950-66fbc4bf4e5b	240	unblock
1691772354.6916056	21043	203	5002	20570faf-7fe3-44c1-836f-289c7f33cb51	419	unblock
1691772510.764524	24195	248	5001	0c9c922c-bf87-4ec8-a9f7-88120c3724d8	376	unblock
1691772951.3776588	26841	47	5002	3a6bf2ea-0538-4d86-a599-d7b1310a1fd0	364	unblock
1691773603.1405578	16475	123	5005	7974ca5b-f4d8-4a69-84b6-cd5612a7f890	372	unblock
1691773645.0581653	26209	152	5001	05c9a41b-ec70-4a09-84ee-df867ebb92a5	417	unblock
1691773687.2294958	27727	42	5000	aa1d053a-2300-4238-ab50-7937724a0e03	388	unblock
1691773821.9151666	29980	75	5001	b5aaed61-6389-4f40-ae12-dfee8d38fe17	406	unblock
1691773983.1190548	29659	79	5002	087fbd68-2578-4027-8070-025bc741c2f1	390	no_decision
1691773984.1865785	29659	79	10002	087fbd68-2578-4027-8070-025bc741c2f1	819	no_decision
1691774005.409572	33794	216	5007	17909bae-1f74-46a4-ad36-a90a895a364d	381	unblock
1691774042.0389564	29941	222	5000	cc11e15e-e986-4a3b-871e-39d3c91f1064	291	unblock
1691774086.1016245	10824	59	5013	64ad9708-9da3-4dfd-a123-bd00a739a3b1	429	unblock
1691774127.1799502	31050	132	5000	e2045a6b-b3f5-4119-8ad4-26331ba9ef72	344	unblock
1691774200.8328378	22851	145	5004	46b02c78-dcee-4990-b24c-c0b44531f95e	453	unblock
1691774265.2641788	28535	96	5011	8d3bb133-4e25-4690-a618-7671d5af064b	355	no_decision
1691774265.9558425	28535	96	10024	8d3bb133-4e25-4690-a618-7671d5af064b	760	no_decision
1691774271.977595	29082	4	5005	bc3a5e15-ad60-4d8c-8c53-9c690f56dbb1	398	unblock
1691774419.1745756	31188	118	5001	93ffe949-15fd-4e57-b243-03c059f68ba1	397	unblock
1691774561.924162	29048	119	5040	9756b305-9fd6-4fa8-866a-7f80f15e0b3b	411	unblock
1691774588.400061	26226	67	5005	48723d69-5659-4897-b25c-5036ef530383	431	unblock
1691774902.0688288	34913	157	5007	06b949bc-3a90-498b-a4ef-aee1fee86a82	412	unblock
1691774962.040033	22917	251	5004	3cfed2d6-a81a-477a-bb49-92a42e0005a3	273	unblock
1691775093.5522647	30879	213	5004	8ad5fe98-edd8-46b7-9151-1e1052770f8e	378	unblock
1691775100.155088	29271	242	5000	8ccd12a8-2782-4f93-9b61-76befc3fcbd5	362	unblock
1691775152.1629994	29354	168	5002	6a9fa0de-4d0e-46cf-b709-40476600ee5a	387	unblock
1691775175.83224	17345	190	5003	4d164613-d9e0-4896-a665-1537d52440e8	369	unblock
1691775403.5488803	23200	40	5012	8ceb72cc-f7fd-4385-8d1e-496f059d587b	357	unblock
1691775430.8441634	23307	110	5002	2987fc94-225c-4a02-a45f-96a95d58ee9a	341	no_decision
1691775431.6005695	23307	110	10007	2987fc94-225c-4a02-a45f-96a95d58ee9a	667	no_decision
1691775432.9208272	23307	110	15013	2987fc94-225c-4a02-a45f-96a95d58ee9a	1083	no_decision
1691775470.446078	35612	191	5000	db08591d-9bff-498b-9a31-f59deb8c2393	94	no_decision
1691775690.7936728	17290	142	5014	f09d2011-4089-4d83-ada9-96e7f2b1bbf3	368	unblock
1691775961.694598	28396	28	5003	057e57fa-e921-4c8e-ae9a-dc7d62b59dbd	423	unblock
1691775978.373026	35050	127	5002	91a0e392-2622-44d4-a8a8-46cfaa4895c4	385	unblock
1691776048.3533683	32853	183	5016	6ac0ebb0-f06f-40e8-980f-13e6b45e12f3	345	unblock
1691776100.2567074	23617	173	5016	3986457d-3fee-46c8-9d8d-933aa087eba5	342	unblock
1691776246.8499515	25728	90	5003	e6dbb999-b73c-492f-bdf5-ec1ff3ce68b6	362	no_decision
1691776247.5989597	25728	90	10003	e6dbb999-b73c-492f-bdf5-ec1ff3ce68b6	856	no_decision
1691776248.7277026	25728	90	15037	e6dbb999-b73c-492f-bdf5-ec1ff3ce68b6	1080	no_decision
1691776249.750178	25728	90	20046	e6dbb999-b73c-492f-bdf5-ec1ff3ce68b6	1308	no_decision
1691776250.7370744	25728	90	25056	e6dbb999-b73c-492f-bdf5-ec1ff3ce68b6	1543	no_decision
1691776251.789435	25728	90	30061	e6dbb999-b73c-492f-bdf5-ec1ff3ce68b6	1891	no_decision
1691776252.598339	25728	90	35072	e6dbb999-b73c-492f-bdf5-ec1ff3ce68b6	2342	no_decision
1691776253.7172828	25728	90	40076	e6dbb999-b73c-492f-bdf5-ec1ff3ce68b6	2795	no_decision
1691776274.6853695	30934	67	5001	e88aba4f-2edf-4684-bbde-3c581aff9f5b	405	unblock
1691776299.341225	32845	45	5009	ae8df437-6351-4306-8cee-45d9884b0ab1	368	unblock
1691776386.938375	33075	45	5001	74a38391-56b8-456c-8a17-1235af5b89b2	397	unblock
1691776567.266324	30045	250	5007	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	406	no_decision
1691776568.4622786	30045	250	10008	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	801	no_decision
1691776569.5305097	30045	250	15028	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	1243	no_decision
1691776570.554895	30045	250	20029	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	1691	no_decision
1691776571.257411	30045	250	25041	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	2111	no_decision
1691776572.3883674	30045	250	30061	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	2580	no_decision
1691776573.1922472	30045	250	35064	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	3037	no_decision
1691776574.26391	30045	250	40067	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	3456	no_decision
1691776575.2388537	30045	250	45067	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	3874	no_decision
1691776576.3192244	30045	250	50087	eb68f0ca-fa5c-4ee1-a1ad-051c466893fe	4293	stop_receiving
1691776591.870196	70191	210	5003	70bf6fcd-1d9d-4300-9ec2-db5cb75afc50	409	unblock
1691776685.248947	34249	5	5008	d3c0ff63-8907-42f7-b6ce-e26a9a945fcb	403	unblock
1691776892.6879263	45173	202	5000	a78a5e34-852d-4db7-91c7-c6c5b0fa1815	362	unblock
1691777017.8584838	31540	128	5003	5da1d2c9-cf71-452a-87f2-fdb8ef36046d	518	unblock
1691777178.258457	36230	45	5013	ffd06cf4-2f2d-4b4d-ade5-5cfd4e931dac	266	no_decision
1691777179.2730422	36230	45	10021	ffd06cf4-2f2d-4b4d-ade5-5cfd4e931dac	847	no_decision
1691777180.3595254	36230	45	15032	ffd06cf4-2f2d-4b4d-ade5-5cfd4e931dac	1262	no_decision
1691777181.0856948	36230	45	20040	ffd06cf4-2f2d-4b4d-ade5-5cfd4e931dac	1710	no_decision
1691777477.2365043	40000	213	5009	1b955d61-5359-4bf7-a941-e118265e8833	365	unblock
1691777756.5807202	38635	12	5007	f99c50ae-5405-4b7a-90f0-e7bc982ad753	355	unblock
1691777761.6451678	36779	115	5002	20309028-f784-47f3-9914-3f15d86cfcd1	345	unblock
1691777831.1897986	27288	1	5001	45e07ebf-d505-40d3-ad52-7c7e084a0c13	368	unblock
1691777924.1386676	31865	65	5003	b6f037bf-50ba-4c62-a48b-3c3bb9d25358	399	unblock
1691777959.7990296	39975	42	5013	7abd48d9-7423-4b1e-952c-c097e97cfd47	504	unblock
1691778270.9394765	40821	8	5009	0664dbdb-5207-4d48-96fa-0c8bf70a79e8	161	no_decision
1691778272.0041611	40821	8	10009	0664dbdb-5207-4d48-96fa-0c8bf70a79e8	340	unblock
1691778555.1017437	41635	153	5001	eb615086-ea4d-4967-bfae-5c86cc192767	409	unblock
1691778639.0173764	68615	237	5000	98f62771-997c-4e6c-9563-147f3587aa55	368	unblock
1691779063.149645	44662	240	5005	5d8dc91b-3526-4ba8-a2b3-d38c4e01a44b	417	unblock
1691779095.372653	46769	233	5015	4b896be2-12f8-4e6c-9e08-b9136ca447d4	378	unblock
1691779180.2201316	35706	145	5008	234a446c-d1bb-4367-bffd-1b6fb0e39df0	422	unblock
1691779225.5522745	46505	136	5003	d0ab1791-ae74-4b86-97a2-25814b57fee7	436	unblock
1691779294.5379505	42407	24	5000	9419e0cc-60cf-4bbf-af21-a9e6dee65d78	387	unblock
1691779446.4543004	40964	247	5009	dffffd1b-b4f3-4ae1-bfc7-75af72b6c463	353	unblock
1691779458.885374	34121	236	5004	a1ec275f-f542-47cd-a110-bc49ecf38dbc	410	unblock
1691779571.1147585	32996	40	5003	abed6190-c38c-4c0c-bc00-9bf6ea0c843e	388	unblock
1691779706.674521	44244	102	5002	c9257cae-7f32-4aa6-866f-e54f8e1a0078	370	unblock
1691779716.0836902	20709	61	5005	a106d78b-1569-42f4-badf-0627cb294ebc	384	unblock
1691779776.292119	34523	82	5009	49e05904-19db-4b8a-9322-5f589bc1a9ea	402	unblock
1691779824.9846334	36249	234	5005	3275dad7-0c84-4bf9-80ec-2fa4d6bc638b	251	no_decision
1691779826.0532322	36249	234	10007	3275dad7-0c84-4bf9-80ec-2fa4d6bc638b	530	unblock
1691779949.431422	39834	256	5003	8b3eb4c1-6b71-414e-8b18-434c89058976	433	unblock
1691780144.5904908	46066	32	5008	2379a8df-b6a0-44fe-a76d-0e048511d6c0	242	no_decision
1691780145.5867918	46066	32	10008	2379a8df-b6a0-44fe-a76d-0e048511d6c0	510	no_decision
1691780146.6924956	46066	32	15008	2379a8df-b6a0-44fe-a76d-0e048511d6c0	799	no_decision
1691780147.4630833	46066	32	20008	2379a8df-b6a0-44fe-a76d-0e048511d6c0	1077	no_decision
1691780148.6146858	46066	32	25011	2379a8df-b6a0-44fe-a76d-0e048511d6c0	1386	no_decision
1691780149.3739605	46066	32	30022	2379a8df-b6a0-44fe-a76d-0e048511d6c0	1699	no_decision
1691780150.685895	46066	32	35023	2379a8df-b6a0-44fe-a76d-0e048511d6c0	1969	no_decision
1691780151.3788097	46066	32	40024	2379a8df-b6a0-44fe-a76d-0e048511d6c0	2242	no_decision
1691780152.491921	46066	32	45044	2379a8df-b6a0-44fe-a76d-0e048511d6c0	2361	no_decision
1691780153.652565	46066	32	50045	2379a8df-b6a0-44fe-a76d-0e048511d6c0	2655	no_decision
1691780154.4668896	46066	32	55048	2379a8df-b6a0-44fe-a76d-0e048511d6c0	2960	no_decision
1691780155.5293932	46066	32	60049	2379a8df-b6a0-44fe-a76d-0e048511d6c0	3247	no_decision
1691780156.5141633	46066	32	65051	2379a8df-b6a0-44fe-a76d-0e048511d6c0	3740	no_decision
1691780157.5770683	46066	32	70066	2379a8df-b6a0-44fe-a76d-0e048511d6c0	3829	no_decision
1691780158.684296	46066	32	75067	2379a8df-b6a0-44fe-a76d-0e048511d6c0	4321	stop_receiving
1691780260.289014	23976	37	5008	adc16394-93d8-4cfe-895a-7a6216c54249	299	unblock
1691780338.8576806	46656	32	5013	11f4cab0-d9b0-41af-89c4-bcb87dab8dcc	408	unblock
1691780374.9878814	44701	49	5000	f41df99c-8af8-4907-9189-ca279f4a3aae	370	unblock
1691780427.166257	49644	169	5000	e76f3dea-a490-4cd0-b73f-80b39dc7169f	364	no_decision
1691780428.1589985	49644	169	10008	e76f3dea-a490-4cd0-b73f-80b39dc7169f	760	no_decision
1691780429.2327242	49644	169	15014	e76f3dea-a490-4cd0-b73f-80b39dc7169f	1217	no_decision
1691780585.7201462	46994	203	5005	d5fd749f-ec33-4eff-a021-7e2ebd4546ed	429	unblock
1691780592.3810048	40679	105	5000	b9af9543-5ddd-4610-98d1-1311ab15c814	307	no_decision
1691780690.0878074	39923	189	5000	52a8a722-7d38-4755-8d50-a6f95716403d	404	unblock
1691780783.1110828	50098	114	5002	76872e14-d99e-4ee2-9bcd-cdff244d3133	376	unblock
1691780869.5677028	41702	112	5000	58a3bb48-7bbe-4d2f-bf68-eba1797da298	374	unblock
1691780895.6448483	40167	180	5013	5598ef02-0040-4eb1-bec4-03344bc662f5	210	no_decision
1691780916.8843486	46492	23	5001	51f7290c-2719-4324-b11e-3656ef9e4679	366	unblock
1691780924.229138	39820	2	5011	131b75b7-1e02-4f6e-bc9d-23c35eb5cc16	438	no_decision
1691780925.2633803	39820	2	10021	131b75b7-1e02-4f6e-bc9d-23c35eb5cc16	863	no_decision
1691780926.2575276	39820	2	15023	131b75b7-1e02-4f6e-bc9d-23c35eb5cc16	1313	no_decision
1691780927.335215	39820	2	20025	131b75b7-1e02-4f6e-bc9d-23c35eb5cc16	1743	no_decision
1691780928.166318	39820	2	25027	131b75b7-1e02-4f6e-bc9d-23c35eb5cc16	2193	no_decision
1691780953.957949	48155	14	5001	db8c6065-4737-4146-9268-dcb453008256	397	unblock
1691781021.484419	45568	54	5006	8391df25-9a86-4fce-a0f0-e6814877aea8	449	no_decision
1691781022.5160773	45568	54	10015	8391df25-9a86-4fce-a0f0-e6814877aea8	915	no_decision
1691781023.6200476	45568	54	15018	8391df25-9a86-4fce-a0f0-e6814877aea8	1425	no_decision
1691781024.818716	45568	54	20032	8391df25-9a86-4fce-a0f0-e6814877aea8	1916	no_decision
1691781025.6181157	45568	54	25048	8391df25-9a86-4fce-a0f0-e6814877aea8	2395	no_decision
1691781026.635983	45568	54	30054	8391df25-9a86-4fce-a0f0-e6814877aea8	2886	no_decision
1691781027.578524	45568	54	35061	8391df25-9a86-4fce-a0f0-e6814877aea8	3248	no_decision
1691781028.680205	45568	54	40093	8391df25-9a86-4fce-a0f0-e6814877aea8	3554	no_decision
1691781030.6527069	53622	92	5004	c133037b-6b18-4cea-a5f9-c8904630eef8	371	unblock
1691781068.5844078	51492	192	5011	1027c0ea-c891-472f-9aab-e1bed0fac0aa	430	unblock
1691781104.889053	50004	12	5000	f00c6a35-f10e-48d3-b4f5-c65e413dfae2	314	unblock
1691781134.6018336	25115	61	5002	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	420	no_decision
1691781135.6050353	25115	61	10014	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	835	no_decision
1691781136.6548588	25115	61	15016	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	1228	no_decision
1691781137.7764044	25115	61	20019	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	1656	no_decision
1691781138.5810542	25115	61	25020	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	2066	no_decision
1691781139.7784755	25115	61	30023	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	2380	no_decision
1691781140.7715538	25115	61	35029	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	2909	no_decision
1691781141.7559094	25115	61	40031	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	3301	no_decision
1691781142.8224485	25115	61	45045	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	3724	no_decision
1691781143.8936908	25115	61	50049	b2c8bd3a-09d8-4a1d-ab5d-f9d1cc26da94	4093	stop_receiving
1691781163.16409	60741	216	5001	d00158c5-ca97-4c9a-9f29-8a0a6186263d	390	unblock
1691781270.238451	55779	193	5003	9deaa048-43f6-46e9-9132-29effba37049	391	unblock
1691781663.313841	48112	111	5000	9e01c3f7-7d62-4160-8970-4b2197657f18	423	unblock
1691781684.0539074	38958	101	5005	96c387d5-e6b0-4d48-b302-ff6a4fcedb76	325	unblock
1691781711.6111038	47292	230	5009	cb4b3936-e8af-4492-9219-9b15af601c23	424	unblock
1691781735.5205848	45608	174	5000	e541ce90-c441-4d4a-9988-14e915199b12	374	unblock
1691781742.0090044	41986	250	5001	3fd5733b-1cb1-43cf-8695-9cd17b3d566a	420	no_decision
1691781749.9146874	30066	109	5004	9d0f55db-7a09-4bb1-af4d-4a9e17f591a5	383	unblock
1691781765.901061	56127	80	5019	e27604ac-c814-445e-b80e-bb12df121d46	426	unblock
1691781823.9065306	39972	103	5002	803cab7c-88f1-415e-849d-da8d124b48fa	512	unblock
1691781838.4576669	50647	60	5000	55c4dca4-2c54-411d-a1f5-8ae0fd633c10	369	unblock
1691781863.1876445	45658	38	5009	c494de85-72b3-421c-b3c8-39978eebebaa	403	unblock
1691782043.8082922	48000	245	5023	6203832c-83a5-4ca6-a154-2a9f6eacb112	415	unblock
1691782062.593125	51286	153	5010	2a95284a-140e-4c2a-97c2-51d51166a727	395	unblock
1691782073.7904243	54588	219	5000	1af650ac-bb92-4ccb-884f-4f8c9d979634	435	unblock
1691782118.8980217	57101	92	5000	8f59b17f-d434-4eaf-84af-7cf2b78d6521	407	unblock
1691782132.371474	50874	55	5000	3c733ac6-ed4c-4ccd-a0a1-06f28a022c57	397	unblock
1691782140.0098467	53514	12	5005	30c91985-b5b5-42b7-ab74-a2db69ffefa8	426	unblock
1691782512.4358056	49860	24	5001	dc86205a-4184-4afd-8bf4-ce2748a9afe0	384	unblock
1691782552.9033604	51381	23	5002	ddddf8fb-365a-45ce-9386-7b19d3c34fd3	419	unblock
1691782602.8386495	53957	205	5006	57956c9f-985a-45ad-9bdd-48b2298c7513	348	unblock
1691782713.4861765	50359	54	5005	53dc8505-5c2f-4aa7-9a51-b1a0546ed6b1	415	unblock
1691782796.8686197	40487	142	5000	c0c2297f-4ac8-422b-a1cc-605e454d3e95	403	unblock
1691782846.0639	36645	190	5006	51a009b4-708e-4f9d-ac2e-c7115da4c336	411	unblock
1691782917.037748	49740	248	5010	06dd1108-41c0-4881-b9b7-fc822e9ae437	421	unblock
1691783074.2938747	44529	187	5005	fe9752bb-d320-4fa8-b91c-7b01f6a2adf8	345	unblock
1691783078.8377943	52972	67	5009	21a1e3b4-651b-499d-bdf0-d5b5010824ef	417	no_decision
1691783080.0190809	52972	67	10018	21a1e3b4-651b-499d-bdf0-d5b5010824ef	847	no_decision
1691783080.657197	52972	67	15022	21a1e3b4-651b-499d-bdf0-d5b5010824ef	1278	no_decision
1691783081.9937527	52972	67	20022	21a1e3b4-651b-499d-bdf0-d5b5010824ef	1733	no_decision
1691783082.740663	52972	67	25030	21a1e3b4-651b-499d-bdf0-d5b5010824ef	2155	no_decision
1691783083.819278	52972	67	30033	21a1e3b4-651b-499d-bdf0-d5b5010824ef	2255	no_decision
1691783085.065718	52972	67	35034	21a1e3b4-651b-499d-bdf0-d5b5010824ef	3031	no_decision
1691783085.75083	52972	67	40036	21a1e3b4-651b-499d-bdf0-d5b5010824ef	3153	no_decision
1691783086.715438	52972	67	45044	21a1e3b4-651b-499d-bdf0-d5b5010824ef	3572	no_decision
1691783087.7497888	52972	67	50045	21a1e3b4-651b-499d-bdf0-d5b5010824ef	4316	stop_receiving
1691783089.2171106	57717	138	5003	88b35187-15bf-42d0-ae3a-37b152795f06	408	unblock
1691783221.4056914	50909	253	5023	a53668a8-6761-4f46-96aa-9949be3efa46	410	unblock
1691783300.122917	47477	16	5012	fbfc78b5-f4cf-4de3-b87f-39f50f062041	382	unblock
1691783377.9835353	55487	60	5006	6b93534e-0369-41ff-be04-a69671979ebb	412	no_decision
1691783379.1636393	55487	60	10006	6b93534e-0369-41ff-be04-a69671979ebb	866	no_decision
1691783432.6765532	48442	165	5040	32688f18-8af9-4903-8152-9c9a4b1257d9	325	unblock
1691783630.374268	62603	71	5018	ad1e964b-2521-4b99-a73c-15f2adcd0403	371	unblock
1691783632.101487	51004	51	5007	f31a6ac8-8f94-4696-9bdd-6c0f142781a2	394	unblock
1691783658.3987072	50677	3	5004	d42cd988-0ba9-42b2-bc08-c2528f606c3b	209	unblock
1691783661.9768622	44898	236	5003	20f5ee5b-c29c-4eeb-9217-c0aca99be5ab	335	unblock
1691783675.628936	48657	16	5000	39fdcb4c-4f86-4d80-b32b-749a68939d03	200	no_decision
1691783743.7436671	53548	204	5002	cddc631f-be82-4cd2-bc49-d6576ba88a61	205	no_decision
1691783744.4767816	53548	204	10004	cddc631f-be82-4cd2-bc49-d6576ba88a61	571	unblock
1691783793.05736	57844	232	5003	78f96fe5-c1b6-439e-a8a1-87ca2bd40493	390	unblock
1691783793.05736	56269	45	5008	3cc7b710-446b-4852-825a-eaafba11b324	394	unblock
1691783834.7387118	55463	99	5007	a806a2c9-a4da-4cca-80e4-ca84cfe69f6f	418	unblock
1691783999.90223	81324	132	5007	1ebc0c8c-3a97-49c0-8409-c4018a4ef199	408	unblock
1691784006.6137502	64131	222	5024	11cd15c1-5279-4cfc-84a6-3d3a2bae3409	442	unblock
1691784038.2154276	52200	174	5000	f86328a6-3ba3-4c2b-a11b-cbbbddf39770	347	unblock
1691784144.9795268	61350	53	5000	8037effc-92fb-46de-b375-33b8ff475cac	372	unblock
1691784233.6336222	47145	243	5008	3c84f3e7-9cf3-4e69-8b6f-2e7b9f784d0b	399	unblock
1691784240.893345	61717	53	5016	c71f1b83-7728-4ee6-bf90-477951527c4d	379	unblock
1691784285.4486854	46463	128	5018	9036c5cf-6f24-4fd8-b19c-5fddf5d5c750	377	unblock
1691784293.7186582	49393	78	5001	4192eede-9859-421f-b9c6-f7707b92c9d9	412	unblock
1691784330.3240433	59589	114	5008	0f329c9b-20c6-42f3-ac2c-bb2fb986facf	410	no_decision
1691784331.4157262	59589	114	10015	0f329c9b-20c6-42f3-ac2c-bb2fb986facf	840	no_decision
1691784347.5262034	63475	219	5007	f18767b9-6f08-4e02-8f98-f100b0f5c929	294	unblock
